"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","197","test_new_obj[Mikhail]","","2026-05-27","passed","2026-05-27","","ex1","",""
"","534","Получение всех объектов","","2026-05-27","passed","2026-05-27","","ex1","",""
"","272","test_put_obj","","2026-05-27","passed","2026-05-27","","ex1","",""
"","205","test_patch_obj","","2026-05-27","passed","2026-05-27","","ex1","",""
"","192","Получение одного объекта","","2026-05-27","passed","2026-05-27","","ex1","",""
"","208","test_new_obj[Eugene]","","2026-05-27","passed","2026-05-27","","ex1","",""
"","209","test_delete_obj","","2026-05-27","passed","2026-05-27","","ex1","",""
"","214","test_new_obj[Polina]","","2026-05-27","passed","2026-05-27","","ex1","",""
