"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Obj","3","0","Create obj","0"
"0","","0","Obj","2","0","Get obj","0"
"0","","0","Obj","3","0","Change obj","0"
