"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","151","Удаление объекта","","2026-05-27","passed","2026-05-27","","ex1","",""
"","158","Получение нового объекта","","2026-05-27","passed","2026-05-27","","ex1","",""
"","151","Изменение объекта методом PATCH","","2026-05-27","passed","2026-05-27","","ex1","",""
"","153","Получение нового объекта","","2026-05-27","passed","2026-05-27","","ex1","",""
"","151","Получение нового объекта","","2026-05-27","passed","2026-05-27","","ex1","",""
"","291","Получение одного объекта","","2026-05-27","passed","2026-05-27","","ex1","",""
"","205","Изменение объекта методом PUT","","2026-05-27","passed","2026-05-27","","ex1","",""
"","266","Получение всех объектов","","2026-05-27","failed","2026-05-27","","ex1","",""
